Species 1,Species 2,Dist
Australia(27),New Zealand(9),0,0159525005
Australia(28),New Zealand(9),0,0000000000
Australia(29),New Zealand(9),0,0023432966
Australia(30),New Zealand(9),0,0005837712
Australia(31),New Zealand(9),0,0023490584
Australia(32),New Zealand(9),0,0005851376
Australia(33),New Zealand(9),0,0000000000
Australia(34),New Zealand(9),0,0141310850
Australia(35),New Zealand(9),0,0159242728
Australia(36),New Zealand(9),0,0147281000
Australia(37),New Zealand(9),0,0000000000
Australia(38),New Zealand(9),0,0000000000
Australia(39),New Zealand(9),0,0011661813
Australia(40),New Zealand(9),0,0147595444
Australia(41),New Zealand(9),0,0005830904
Australia(42),New Zealand(9),0,0005837712
Australia(43),New Zealand(9),0,0005827506
Australia(44),New Zealand(9),0,0141360761
Australia(45),New Zealand(9),0,0153258287
Australia(46),New Zealand(9),0,0005861665
Australia(47),New Zealand(9),0,0000000000
Australia(48),New Zealand(9),0,0011677982
Australia(49),New Zealand(9),0,0005827506
Australia(50),New Zealand(9),0,0011682248
Australia(51),New Zealand(9),0,0005837712
Australia(52),New Zealand(9),0,0000000000
Australia(53),New Zealand(9),0,0000000000
New Zealand,New Zealand(9),0,0000000000
New Zealand(2),New Zealand(9),0,0000000000
New Zealand(3),New Zealand(9),0,0000000000
New Zealand(4),New Zealand(9),0,0005826657
New Zealand(5),New Zealand(9),0,0000000000
New Zealand(6),New Zealand(9),0,0000000000
New Zealand(7),New Zealand(9),0,0023339810
New Zealand(8),New Zealand(9),0,0000000000
Australia,New Zealand(10),0,0000000000
Australia(2),New Zealand(10),0,0005824112
Australia(3),New Zealand(10),0,0000000000
Australia(4),New Zealand(10),0,0005854802
Australia(5),New Zealand(10),0,0005813954
Australia(6),New Zealand(10),0,0000000000
Australia(7),New Zealand(10),0,0000000000
Australia(8),New Zealand(10),0,0000000000
Australia(9),New Zealand(10),0,0011634677
Australia(10),New Zealand(10),0,0011634677
Australia(11),New Zealand(10),0,0023299026
Australia(12),New Zealand(10),0,0029310973
Australia(13),New Zealand(10),0,0023415799
Australia(14),New Zealand(10),0,0005826657
Australia(15),New Zealand(10),0,0011655017
Australia(16),New Zealand(10),0,0005813954
Australia(17),New Zealand(10),0,0011634677
Australia(18),New Zealand(10),0,0153258287
Australia(19),New Zealand(10),0,0023312605
Australia(20),New Zealand(10),0,0005813954
Australia(21),New Zealand(10),0,0005813109
Australia(22),New Zealand(10),0,0158867909
Australia(23),New Zealand(10),0,0005813109
Australia(24),New Zealand(10),0,0000000000
Australia(25),New Zealand(10),0,0000000000
Australia(26),New Zealand(10),0,0000000000
Australia(27),New Zealand(10),0,0159148858
Australia(28),New Zealand(10),0,0000000000
Australia(29),New Zealand(10),0,0023378184
Australia(30),New Zealand(10),0,0005824112
Australia(31),New Zealand(10),0,0023435532
Australia(32),New Zealand(10),0,0005837712
Australia(33),New Zealand(10),0,0000000000
Australia(34),New Zealand(10),0,0140978803
Australia(35),New Zealand(10),0,0158867909
Australia(36),New Zealand(10),0,0146934729
Australia(37),New Zealand(10),0,0000000000
Australia(38),New Zealand(10),0,0000000000
Australia(39),New Zealand(10),0,0011634677
Australia(40),New Zealand(10),0,0147247694
Australia(41),New Zealand(10),0,0005817336
Australia(42),New Zealand(10),0,0005824112
Australia(43),New Zealand(10),0,0005813954
Australia(44),New Zealand(10),0,0141194424
Australia(45),New Zealand(10),0,0153258287
Australia(46),New Zealand(10),0,0005847954
Australia(47),New Zealand(10),0,0000000000
Australia(48),New Zealand(10),0,0011650771
Australia(49),New Zealand(10),0,0005813954
Australia(50),New Zealand(10),0,0011655017
Australia(51),New Zealand(10),0,0005824112
Australia(52),New Zealand(10),0,0000000000
Australia(53),New Zealand(10),0,0000000000
New Zealand,New Zealand(10),0,0000000000
New Zealand(2),New Zealand(10),0,0000000000
New Zealand(3),New Zealand(10),0,0000000000
New Zealand(4),New Zealand(10),0,0005813109
New Zealand(5),New Zealand(10),0,0000000000
New Zealand(6),New Zealand(10),0,0000000000
New Zealand(7),New Zealand(10),0,0023285462
New Zealand(8),New Zealand(10),0,0000000000
New Zealand(9),New Zealand(10),0,0000000000
Australia,New Zealand(11),0,0005837712
Australia(2),New Zealand(11),0,0011682248
Australia(3),New Zealand(11),0,0005851376
Australia(4),New Zealand(11),0,0011743987
Australia(5),New Zealand(11),0,0011661813
Australia(6),New Zealand(11),0,0005827506
Australia(7),New Zealand(11),0,0005827506
Australia(8),New Zealand(11),0,0005827506
Australia(9),New Zealand(11),0,0017502935
Australia(10),New Zealand(11),0,0017502935
Australia(11),New Zealand(11),0,0017505483
Australia(12),New Zealand(11),0,0035276093
Australia(13),New Zealand(11),0,0029353111
Australia(14),New Zealand(11),0,0011657562
Australia(15),New Zealand(11),0,0017533624
Australia(16),New Zealand(11),0,0011661813
Australia(17),New Zealand(11),0,0017502935
Australia(18),New Zealand(11),0,0159619320
Australia(19),New Zealand(11),0,0029191186
Australia(20),New Zealand(11),0,0011661813
Australia(21),New Zealand(11),0,0011657562
Australia(22),New Zealand(11),0,0165234340
Australia(23),New Zealand(11),0,0011657562
Australia(24),New Zealand(11),0,0005827506
Australia(25),New Zealand(11),0,0005837712
Australia(26),New Zealand(11),0,0005837712
Australia(27),New Zealand(11),0,0165527406
Australia(28),New Zealand(11),0,0005827506
Australia(29),New Zealand(11),0,0029308407
Australia(30),New Zealand(11),0,0011682248
Australia(31),New Zealand(11),0,0029379866
Australia(32),New Zealand(11),0,0011709607
Australia(33),New Zealand(11),0,0005865103
Australia(34),New Zealand(11),0,0147281000
Australia(35),New Zealand(11),0,0165234340
Australia(36),New Zealand(11),0,0153258287
Australia(37),New Zealand(11),0,0005827506
Australia(38),New Zealand(11),0,0005827506
Australia(39),New Zealand(11),0,0017502935
Australia(40),New Zealand(11),0,0153587056
Australia(41),New Zealand(11),0,0011668617
Australia(42),New Zealand(11),0,0011682248
Australia(43),New Zealand(11),0,0011661813
Australia(44),New Zealand(11),0,0147334478
Australia(45),New Zealand(11),0,0159242728
Australia(46),New Zealand(11),0,0011730211
Australia(47),New Zealand(11),0,0005841122
Australia(48),New Zealand(11),0,0017525936
Australia(49),New Zealand(11),0,0011661813
Australia(50),New Zealand(11),0,0017533624
Australia(51),New Zealand(11),0,0011682248
Australia(52),New Zealand(11),0,0005827506
Australia(53),New Zealand(11),0,0005861665
New Zealand,New Zealand(11),0,0005827506
New Zealand(2),New Zealand(11),0,0005827506
New Zealand(3),New Zealand(11),0,0005827506
New Zealand(4),New Zealand(11),0,0011657562
New Zealand(5),New Zealand(11),0,0005827506
New Zealand(6),New Zealand(11),0,0005827506
New Zealand(7),New Zealand(11),0,0029191186
New Zealand(8),New Zealand(11),0,0005827506
New Zealand(9),New Zealand(11),0,0005827506
New Zealand(10),New Zealand(11),0,0005827506
Australia,New Zealand(12),0,0153477799
Australia(2),New Zealand(12),0,0159093528
Australia(3),New Zealand(12),0,0147541776
Australia(4),New Zealand(12),0,0153984467
Australia(5),New Zealand(12),0,0158812776
Australia(6),New Zealand(12),0,0153206471
Australia(7),New Zealand(12),0,0152846188
Australia(8),New Zealand(12),0,0152846188
Australia(9),New Zealand(12),0,0164786492
Australia(10),New Zealand(12),0,0164786492
Australia(11),New Zealand(12),0,0176798882
Australia(12),New Zealand(12),0,0177908505
Australia(13),New Zealand(12),0,0171721222
Australia(14),New Zealand(12),0,0159137184
Australia(15),New Zealand(12),0,0165077969
Australia(16),New Zealand(12),0,0158812776
Australia(17),New Zealand(12),0,0164786492
Australia(18),New Zealand(12),0,0082088071
Australia(19),New Zealand(12),0,0176903145
Australia(20),New Zealand(12),0,0158812776
Australia(21),New Zealand(12),0,0158762865
Australia(22),New Zealand(12),0,0087795697
Australia(23),New Zealand(12),0,0158762865
Australia(24),New Zealand(12),0,0152846188
Australia(25),New Zealand(12),0,0153296807
Australia(26),New Zealand(12),0,0153116241
Australia(27),New Zealand(12),0,0076136778
Australia(28),New Zealand(12),0,0152846188
Australia(29),New Zealand(12),0,0177382497
Australia(30),New Zealand(12),0,0159093528
Australia(31),New Zealand(12),0,0171880776
Australia(32),New Zealand(12),0,0153529800
Australia(33),New Zealand(12),0,0147890917
Australia(34),New Zealand(12),0,0070117422
Australia(35),New Zealand(12),0,0076003238
Australia(36),New Zealand(12),0,0064238527
Australia(37),New Zealand(12),0,0152846188
Australia(38),New Zealand(12),0,0152846188
Australia(39),New Zealand(12),0,0158812776
Australia(40),New Zealand(12),0,0064376187
Australia(41),New Zealand(12),0,0158906250
Australia(42),New Zealand(12),0,0159093528
Australia(43),New Zealand(12),0,0158812776
Australia(44),New Zealand(12),0,0058456179
Australia(45),New Zealand(12),0,0082088071
Australia(46),New Zealand(12),0,0153802277
Australia(47),New Zealand(12),0,0153568456
Australia(48),New Zealand(12),0,0165024301
Australia(49),New Zealand(12),0,0158812776
Australia(50),New Zealand(12),0,0165077969
Australia(51),New Zealand(12),0,0159093528
Australia(52),New Zealand(12),0,0152846188
Australia(53),New Zealand(12),0,0147803477
New Zealand,New Zealand(12),0,0152846188
New Zealand(2),New Zealand(12),0,0152846188
New Zealand(3),New Zealand(12),0,0152846188
New Zealand(4),New Zealand(12),0,0158762865
New Zealand(5),New Zealand(12),0,0152846188
New Zealand(6),New Zealand(12),0,0152846188
New Zealand(7),New Zealand(12),0,0176694743
New Zealand(8),New Zealand(12),0,0153206471
New Zealand(9),New Zealand(12),0,0153206471
New Zealand(10),New Zealand(12),0,0152846188
New Zealand(11),New Zealand(12),0,0159187333
Australia,New Zealand(13),0,0159469412
Australia(2),New Zealand(13),0,0165077969
Australia(3),New Zealand(13),0,0153529800
Australia(4),New Zealand(13),0,0159997697
Australia(5),New Zealand(13),0,0164786492
Australia(6),New Zealand(13),0,0159187333
Australia(7),New Zealand(13),0,0158812776
Australia(8),New Zealand(13),0,0158812776
Australia(9),New Zealand(13),0,0170767354
Australia(10),New Zealand(13),0,0170767354
Australia(11),New Zealand(13),0,0182794087
Australia(12),New Zealand(13),0,0183943508
Australia(13),New Zealand(13),0,0177741692
Australia(14),New Zealand(13),0,0165121625
Australia(15),New Zealand(13),0,0171069582
Australia(16),New Zealand(13),0,0164786492
Australia(17),New Zealand(13),0,0170767354
Australia(18),New Zealand(13),0,0088001732
Australia(19),New Zealand(13),0,0182901946
Australia(20),New Zealand(13),0,0164786492
Australia(21),New Zealand(13),0,0164733015
Australia(22),New Zealand(13),0,0093702372
Australia(23),New Zealand(13),0,0164733015
Australia(24),New Zealand(13),0,0158812776
Australia(25),New Zealand(13),0,0159281248
Australia(26),New Zealand(13),0,0159093528
Australia(27),New Zealand(13),0,0082039967
Australia(28),New Zealand(13),0,0158812776
Australia(29),New Zealand(13),0,0183399345
Australia(30),New Zealand(13),0,0165077969
Australia(31),New Zealand(13),0,0177908505
Australia(32),New Zealand(13),0,0159525005
Australia(33),New Zealand(13),0,0153893318
Australia(34),New Zealand(13),0,0076003238
Australia(35),New Zealand(13),0,0081895991
Australia(36),New Zealand(13),0,0070117422
Australia(37),New Zealand(13),0,0158812776
Australia(38),New Zealand(13),0,0158812776
Australia(39),New Zealand(13),0,0164786492
Australia(40),New Zealand(13),0,0070268939
Australia(41),New Zealand(13),0,0164883537
Australia(42),New Zealand(13),0,0165077969
Australia(43),New Zealand(13),0,0164786492
Australia(44),New Zealand(13),0,0064338533
Australia(45),New Zealand(13),0,0088001732
Australia(46),New Zealand(13),0,0159808284
Australia(47),New Zealand(13),0,0159563661
Australia(48),New Zealand(13),0,0171012326
Australia(49),New Zealand(13),0,0164786492
Australia(50),New Zealand(13),0,0171069582
Australia(51),New Zealand(13),0,0165077969
Australia(52),New Zealand(13),0,0158812776
Australia(53),New Zealand(13),0,0153802277
New Zealand,New Zealand(13),0,0158812776
New Zealand(2),New Zealand(13),0,0158812776
New Zealand(3),New Zealand(13),0,0158812776
New Zealand(4),New Zealand(13),0,0164733015
New Zealand(5),New Zealand(13),0,0158812776
New Zealand(6),New Zealand(13),0,0158812776
New Zealand(7),New Zealand(13),0,0182686355
New Zealand(8),New Zealand(13),0,0159187333
New Zealand(9),New Zealand(13),0,0159187333
New Zealand(10),New Zealand(13),0,0158812776
New Zealand(11),New Zealand(13),0,0165175357
New Zealand(12),New Zealand(13),0,0005813954
Australia,New Zealand(14),0,0153477799
Australia(2),New Zealand(14),0,0159093528
Australia(3),New Zealand(14),0,0147541776
Australia(4),New Zealand(14),0,0153984467
Australia(5),New Zealand(14),0,0158812776
Australia(6),New Zealand(14),0,0153206471
Australia(7),New Zealand(14),0,0152846188
Australia(8),New Zealand(14),0,0152846188
Australia(9),New Zealand(14),0,0164786492
Australia(10),New Zealand(14),0,0164786492
Australia(11),New Zealand(14),0,0176798882
Australia(12),New Zealand(14),0,0177908505
Australia(13),New Zealand(14),0,0171721222
Australia(14),New Zealand(14),0,0159137184
Australia(15),New Zealand(14),0,0165077969
Australia(16),New Zealand(14),0,0158812776
Australia(17),New Zealand(14),0,0164786492
Australia(18),New Zealand(14),0,0082088071
Australia(19),New Zealand(14),0,0176903145
Australia(20),New Zealand(14),0,0158812776
Australia(21),New Zealand(14),0,0158762865
Australia(22),New Zealand(14),0,0087795697
Australia(23),New Zealand(14),0,0158762865
Australia(24),New Zealand(14),0,0152846188
Australia(25),New Zealand(14),0,0153296807
Australia(26),New Zealand(14),0,0153116241
Australia(27),New Zealand(14),0,0076136778
Australia(28),New Zealand(14),0,0152846188
Australia(29),New Zealand(14),0,0177382497
Australia(30),New Zealand(14),0,0159093528
Australia(31),New Zealand(14),0,0171880776
Australia(32),New Zealand(14),0,0153529800
Australia(33),New Zealand(14),0,0147890917
Australia(34),New Zealand(14),0,0070117422
Australia(35),New Zealand(14),0,0076003238
Australia(36),New Zealand(14),0,0064238527
Australia(37),New Zealand(14),0,0152846188
Australia(38),New Zealand(14),0,0152846188
Australia(39),New Zealand(14),0,0158812776
Australia(40),New Zealand(14),0,0064376187
Australia(41),New Zealand(14),0,0158906250
Australia(42),New Zealand(14),0,0159093528
Australia(43),New Zealand(14),0,0158812776
Australia(44),New Zealand(14),0,0058456179
Australia(45),New Zealand(14),0,0082088071
Australia(46),New Zealand(14),0,0153802277
Australia(47),New Zealand(14),0,0153568456
Australia(48),New Zealand(14),0,0165024301
Australia(49),New Zealand(14),0,0158812776
Australia(50),New Zealand(14),0,0165077969
Australia(51),New Zealand(14),0,0159093528
Australia(52),New Zealand(14),0,0152846188
Australia(53),New Zealand(14),0,0147803477
New Zealand,New Zealand(14),0,0152846188
New Zealand(2),New Zealand(14),0,0152846188
New Zealand(3),New Zealand(14),0,0152846188
New Zealand(4),New Zealand(14),0,0158762865
New Zealand(5),New Zealand(14),0,0152846188
New Zealand(6),New Zealand(14),0,0152846188
New Zealand(7),New Zealand(14),0,0176694743
New Zealand(8),New Zealand(14),0,0153206471
New Zealand(9),New Zealand(14),0,0153206471
New Zealand(10),New Zealand(14),0,0152846188
New Zealand(11),New Zealand(14),0,0159187333
New Zealand(12),New Zealand(14),0,0000000000
New Zealand(13),New Zealand(14),0,0005813954
Australia,New Zealand(15),0,0005837712
Australia(2),New Zealand(15),0,0011655017
Australia(3),New Zealand(15),0,0005837712
Australia(4),New Zealand(15),0,0011716467
Australia(5),New Zealand(15),0,0011634677
Australia(6),New Zealand(15),0,0005827506
Australia(7),New Zealand(15),0,0005813954
Australia(8),New Zealand(15),0,0005813954
Australia(9),New Zealand(15),0,0017462183
Australia(10),New Zealand(15),0,0017462183
Australia(11),New Zealand(15),0,0029140148
Australia(12),New Zealand(15),0,0035193327
Australia(13),New Zealand(15),0,0029284344
Australia(14),New Zealand(15),0,0011657562
Australia(15),New Zealand(15),0,0017492729
Australia(16),New Zealand(15),0,0011634677
Australia(17),New Zealand(15),0,0017462183
Australia(18),New Zealand(15),0,0159242728
Australia(19),New Zealand(15),0,0029157141
Australia(20),New Zealand(15),0,0011634677
Australia(21),New Zealand(15),0,0011630445
Australia(22),New Zealand(15),0,0164845196
Australia(23),New Zealand(15),0,0011630445
Australia(24),New Zealand(15),0,0005813954
Australia(25),New Zealand(15),0,0005830904
Australia(26),New Zealand(15),0,0005824112
Australia(27),New Zealand(15),0,0165136882
Australia(28),New Zealand(15),0,0005813954
Australia(29),New Zealand(15),0,0029239849
Australia(30),New Zealand(15),0,0011655017
Australia(31),New Zealand(15),0,0029310973
Australia(32),New Zealand(15),0,0011682248
Australia(33),New Zealand(15),0,0005851376
Australia(34),New Zealand(15),0,0146934729
Australia(35),New Zealand(15),0,0164845196
Australia(36),New Zealand(15),0,0152897759
Australia(37),New Zealand(15),0,0005813954
Australia(38),New Zealand(15),0,0005813954
Australia(39),New Zealand(15),0,0017462183
Australia(40),New Zealand(15),0,0153224981
Australia(41),New Zealand(15),0,0011641449
Australia(42),New Zealand(15),0,0011655017
Australia(43),New Zealand(15),0,0011634677
Australia(44),New Zealand(15),0,0147161012
Australia(45),New Zealand(15),0,0159242728
Australia(46),New Zealand(15),0,0011702755
Australia(47),New Zealand(15),0,0005841122
Australia(48),New Zealand(15),0,0017485077
Australia(49),New Zealand(15),0,0011634677
Australia(50),New Zealand(15),0,0017492729
Australia(51),New Zealand(15),0,0011655017
Australia(52),New Zealand(15),0,0005813954
Australia(53),New Zealand(15),0,0005847954
New Zealand,New Zealand(15),0,0005813954
New Zealand(2),New Zealand(15),0,0005813954
New Zealand(3),New Zealand(15),0,0005813954
New Zealand(4),New Zealand(15),0,0011630445
New Zealand(5),New Zealand(15),0,0005813954
New Zealand(6),New Zealand(15),0,0005813954
New Zealand(7),New Zealand(15),0,0029123175
New Zealand(8),New Zealand(15),0,0005827506
New Zealand(9),New Zealand(15),0,0005827506
New Zealand(10),New Zealand(15),0,0005813954
New Zealand(11),New Zealand(15),0,0011661813
New Zealand(12),New Zealand(15),0,0158812776
New Zealand(13),New Zealand(15),0,0164786492
New Zealand(14),New Zealand(15),0,0158812776
Australia,New Zealand(16),0,0166215287
Australia(2),New Zealand(16),0,0171537023
Australia(3),New Zealand(16),0,0165527406
Australia(4),New Zealand(16),0,0172045895
Australia(5),New Zealand(16),0,0171537023
Australia(6),New Zealand(16),0,0165919782
Australia(7),New Zealand(16),0,0165527406
Australia(8),New Zealand(16),0,0165527406
Australia(9),New Zealand(16),0,0177553871
Australia(10),New Zealand(16),0,0177553871
Australia(11),New Zealand(16),0,0189647987
Australia(12),New Zealand(16),0,0196035413
Australia(13),New Zealand(16),0,0189804424
Australia(14),New Zealand(16),0,0171880776
Australia(15),New Zealand(16),0,0177553871
Australia(16),New Zealand(16),0,0171537023
Australia(17),New Zealand(16),0,0177553871
Australia(18),New Zealand(16),0,0106034068
Australia(19),New Zealand(16),0,0189760460
Australia(20),New Zealand(16),0,0171537023
Australia(21),New Zealand(16),0,0171474220
Australia(22),New Zealand(16),0,0111924022
Australia(23),New Zealand(16),0,0171474220
Australia(24),New Zealand(16),0,0165527406
Australia(25),New Zealand(16),0,0165723362
Australia(26),New Zealand(16),0,0165527406
Australia(27),New Zealand(16),0,0111924022
Australia(28),New Zealand(16),0,0165527406
Australia(29),New Zealand(16),0,0189609331
Australia(30),New Zealand(16),0,0171537023
Australia(31),New Zealand(16),0,0189985805
Australia(32),New Zealand(16),0,0171537023
Australia(33),New Zealand(16),0,0165919782
Australia(34),New Zealand(16),0,0094088094
Australia(35),New Zealand(16),0,0111924022
Australia(36),New Zealand(16),0,0100026337
Australia(37),New Zealand(16),0,0165527406
Australia(38),New Zealand(16),0,0165527406
Australia(39),New Zealand(16),0,0171537023
Australia(40),New Zealand(16),0,0100072417
Australia(41),New Zealand(16),0,0171537023
Australia(42),New Zealand(16),0,0171537023
Australia(43),New Zealand(16),0,0171537023
Australia(44),New Zealand(16),0,0094241537
Australia(45),New Zealand(16),0,0106221794
Australia(46),New Zealand(16),0,0171841984
Australia(47),New Zealand(16),0,0166018167
Australia(48),New Zealand(16),0,0177487449
Australia(49),New Zealand(16),0,0171537023
Australia(50),New Zealand(16),0,0177553871
Australia(51),New Zealand(16),0,0171537023
Australia(52),New Zealand(16),0,0165527406
Australia(53),New Zealand(16),0,0165821514
New Zealand,New Zealand(16),0,0165527406
New Zealand(2),New Zealand(16),0,0165527406
New Zealand(3),New Zealand(16),0,0165527406
New Zealand(4),New Zealand(16),0,0171474220
New Zealand(5),New Zealand(16),0,0165527406
New Zealand(6),New Zealand(16),0,0165527406
New Zealand(7),New Zealand(16),0,0189535648
New Zealand(8),New Zealand(16),0,0165919782
New Zealand(9),New Zealand(16),0,0165919782
New Zealand(10),New Zealand(16),0,0165527406
New Zealand(11),New Zealand(16),0,0171943879
New Zealand(12),New Zealand(16),0,0105927221
New Zealand(13),New Zealand(16),0,0111876062
New Zealand(14),New Zealand(16),0,0105927221
New Zealand(15),New Zealand(16),0,0171537023
Australia,New Zealand(17),0,0017533624
Australia(2),New Zealand(17),0,0023391856
Australia(3),New Zealand(17),0,0017574711
Australia(4),New Zealand(17),0,0023515622
Australia(5),New Zealand(17),0,0023350889
Australia(6),New Zealand(17),0,0017502935
Australia(7),New Zealand(17),0,0017502935
Australia(8),New Zealand(17),0,0017502935
Australia(9),New Zealand(17),0,0029205691
Australia(10),New Zealand(17),0,0029205691
Australia(11),New Zealand(17),0,0040938449
Australia(12),New Zealand(17),0,0023490584
Australia(13),New Zealand(17),0,0041138620
Australia(14),New Zealand(17),0,0023339810
Australia(15),New Zealand(17),0,0029256959
Australia(16),New Zealand(17),0,0023350889
Australia(17),New Zealand(17),0,0029205691
Australia(18),New Zealand(17),0,0171638556
Australia(19),New Zealand(17),0,0040914521
Australia(20),New Zealand(17),0,0023350889
Australia(21),New Zealand(17),0,0023339810
Australia(22),New Zealand(17),0,0177239148
Australia(23),New Zealand(17),0,0023339810
Australia(24),New Zealand(17),0,0017502935
Australia(25),New Zealand(17),0,0017533624
Australia(26),New Zealand(17),0,0017533624
Australia(27),New Zealand(17),0,0177553871
Australia(28),New Zealand(17),0,0017502935
Australia(29),New Zealand(17),0,0017564421
Australia(30),New Zealand(17),0,0023391856
Australia(31),New Zealand(17),0,0017608230
Australia(32),New Zealand(17),0,0023446702
Australia(33),New Zealand(17),0,0017615990
Australia(34),New Zealand(17),0,0159242728
Australia(35),New Zealand(17),0,0177239148
Australia(36),New Zealand(17),0,0165234340
Australia(37),New Zealand(17),0,0017502935
Australia(38),New Zealand(17),0,0017502935
Australia(39),New Zealand(17),0,0029205691
Australia(40),New Zealand(17),0,0165591864
Australia(41),New Zealand(17),0,0023364528
Australia(42),New Zealand(17),0,0023391856
Australia(43),New Zealand(17),0,0023350889
Australia(44),New Zealand(17),0,0159303364
Australia(45),New Zealand(17),0,0171233141
Australia(46),New Zealand(17),0,0023488006
Australia(47),New Zealand(17),0,0017543878
Australia(48),New Zealand(17),0,0029242403
Australia(49),New Zealand(17),0,0023350889
Australia(50),New Zealand(17),0,0029256959
Australia(51),New Zealand(17),0,0023391856
Australia(52),New Zealand(17),0,0017502935
Australia(53),New Zealand(17),0,0017605652
New Zealand,New Zealand(17),0,0017502935
New Zealand(2),New Zealand(17),0,0017502935
New Zealand(3),New Zealand(17),0,0017502935
New Zealand(4),New Zealand(17),0,0023339810
New Zealand(5),New Zealand(17),0,0017502935
New Zealand(6),New Zealand(17),0,0017502935
New Zealand(7),New Zealand(17),0,0017495274
New Zealand(8),New Zealand(17),0,0017502935
New Zealand(9),New Zealand(17),0,0017502935
New Zealand(10),New Zealand(17),0,0017502935
New Zealand(11),New Zealand(17),0,0023350889
New Zealand(12),New Zealand(17),0,0171170562
New Zealand(13),New Zealand(17),0,0177172964
New Zealand(14),New Zealand(17),0,0171170562
New Zealand(15),New Zealand(17),0,0023350889
New Zealand(16),New Zealand(17),0,0184013891
Australia,New Zealand(18),0,0147493358
Australia(2),New Zealand(18),0,0153477799
Australia(3),New Zealand(18),0,0141895712
Australia(4),New Zealand(18),0,0148329674
Australia(5),New Zealand(18),0,0153206471
Australia(6),New Zealand(18),0,0147232754
Australia(7),New Zealand(18),0,0147232754
Australia(8),New Zealand(18),0,0147232754
Australia(9),New Zealand(18),0,0159187333
Australia(10),New Zealand(18),0,0159187333
Australia(11),New Zealand(18),0,0171214269
Australia(12),New Zealand(18),0,0172289266
Australia(13),New Zealand(18),0,0166101222
Australia(14),New Zealand(18),0,0153159897
Australia(15),New Zealand(18),0,0159469412
Australia(16),New Zealand(18),0,0153206471
Australia(17),New Zealand(18),0,0159187333
Australia(18),New Zealand(18),0,0029259516
Australia(19),New Zealand(18),0,0171113238
Australia(20),New Zealand(18),0,0153206471
Australia(21),New Zealand(18),0,0153159897
Australia(22),New Zealand(18),0,0035049417
Australia(23),New Zealand(18),0,0153159897
Australia(24),New Zealand(18),0,0147232754
Australia(25),New Zealand(18),0,0147493358
Australia(26),New Zealand(18),0,0147493358
Australia(27),New Zealand(18),0,0082232724
Australia(28),New Zealand(18),0,0147232754
Australia(29),New Zealand(18),0,0171778957
Australia(30),New Zealand(18),0,0153477799
Australia(31),New Zealand(18),0,0166254262
Australia(32),New Zealand(18),0,0147890917
Australia(33),New Zealand(18),0,0142232098
Australia(34),New Zealand(18),0,0017495274
Australia(35),New Zealand(18),0,0082088071
Australia(36),New Zealand(18),0,0070281690
Australia(37),New Zealand(18),0,0147232754
Australia(38),New Zealand(18),0,0147232754
Australia(39),New Zealand(18),0,0153206471
Australia(40),New Zealand(18),0,0070433919
Australia(41),New Zealand(18),0,0153296807
Australia(42),New Zealand(18),0,0153477799
Australia(43),New Zealand(18),0,0153206471
Australia(44),New Zealand(18),0,0064413885
Australia(45),New Zealand(18),0,0029191186
Australia(46),New Zealand(18),0,0148153859
Australia(47),New Zealand(18),0,0147580431
Australia(48),New Zealand(18),0,0159419084
Australia(49),New Zealand(18),0,0153206471
Australia(50),New Zealand(18),0,0159469412
Australia(51),New Zealand(18),0,0153477799
Australia(52),New Zealand(18),0,0147232754
Australia(53),New Zealand(18),0,0142147852
New Zealand,New Zealand(18),0,0147232754
New Zealand(2),New Zealand(18),0,0147232754
New Zealand(3),New Zealand(18),0,0147232754
New Zealand(4),New Zealand(18),0,0153159897
New Zealand(5),New Zealand(18),0,0147232754
New Zealand(6),New Zealand(18),0,0147232754
New Zealand(7),New Zealand(18),0,0171113238
New Zealand(8),New Zealand(18),0,0147232754
New Zealand(9),New Zealand(18),0,0147232754
New Zealand(10),New Zealand(18),0,0147232754
New Zealand(11),New Zealand(18),0,0153206471
New Zealand(12),New Zealand(18),0,0076154650
New Zealand(13),New Zealand(18),0,0082057838
New Zealand(14),New Zealand(18),0,0076154650
New Zealand(15),New Zealand(18),0,0153206471
New Zealand(16),New Zealand(18),0,0088330624
New Zealand(17),New Zealand(18),0,0165175357
Australia,New Zealand(19),0,0011682248
Australia(2),New Zealand(19),0,0017533624
Australia(3),New Zealand(19),0,0011709607
Australia(4),New Zealand(19),0,0017626340
Australia(5),New Zealand(19),0,0017502935
Australia(6),New Zealand(19),0,0011661813
Australia(7),New Zealand(19),0,0011661813
Australia(8),New Zealand(19),0,0011661813
Australia(9),New Zealand(19),0,0023350889
Australia(10),New Zealand(19),0,0023350889
Australia(11),New Zealand(19),0,0035069904
Australia(12),New Zealand(19),0,0041179281
Australia(13),New Zealand(19),0,0035242393
Australia(14),New Zealand(19),0,0017495274
Australia(15),New Zealand(19),0,0023391856
Australia(16),New Zealand(19),0,0017502935
Australia(17),New Zealand(19),0,0023350889
Australia(18),New Zealand(19),0,0165625326
Australia(19),New Zealand(19),0,0035049417
Australia(20),New Zealand(19),0,0017502935
Australia(21),New Zealand(19),0,0017495274
Australia(22),New Zealand(19),0,0171233141
Australia(23),New Zealand(19),0,0017495274
Australia(24),New Zealand(19),0,0011661813
Australia(25),New Zealand(19),0,0011682248
Australia(26),New Zealand(19),0,0011682248
Australia(27),New Zealand(19),0,0171537023
